,X,X.1,RespondentID,StartDate,EndDate,Age,Ethnic,Sex,MilitaryServiceName,MilitaryRankShortName,CountryName,CurricNumber,CurricShortName,SchoolName,Site,DegreeLevel,Q1,Q2,Q3a,Q3b,Q3c,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q4k,Q4l,Q4m,Q5a,Q5b,Q5c,Q6a,Q6b,Q6c,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q11h,Q11i,Q12a,Q12b,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14a,Q14b,Q14c,Q14d,Q15a,Q15b,Q15c,Q15d,Q15e,Q16,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q19j,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q20g,Q20h,Q20i,Q20j,Q21,Q22a,Q22b,Q22c,Q23,Q24a,Q24b,Q24c,Q25,Q26,Q27a,Q27b,Q27c,Q27d,Q28a,Q28b,Q28c,Q28d,Q28e,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q32,Q33,Q34,Q35,Q36,Q37,Q38,AgeGroup
559,559,559,3067730423,2/12/14 20:36,2/12/14 20:49,30,White,M,USN,LT,United States of America,373,Meteorology and Oceanography (METOC),Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,0,2,1,SL,TR,ICR,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Little,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Little,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,1,1,2,2,1,2,0,1,NA,Second,First,Third,First,Fourth,Second,Third,Fifth,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,NA,Not Select,Selcet,Selcet,Not Select,1,1,1,0,-1,Most,Yes,1,-1,-1,1,-2,1,1,-1,1,Intermediate,2,20-30
560,560,560,3067706692,2/12/14 20:26,2/12/14 20:47,39,White,M,USN,LCDR,United States of America,368,Computer Science,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Select,Not Select,Not Select,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,1,0,1,T,TR,TR,Somewhat Well,Somewhat Well,Somewhat Well,NA,Not At All,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Not At All,Somewhat Well,Not At All,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,2,2,-1,-1,0,0,0,1,Fourth,Third,First,Second,First,Fifth,Fourth,Second,Third,N,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,NA,SAKAI,NA,NA,NA,NA,Drop Box,Google Drive,NA,NA,No,Selcet,Not Select,Not Select,Often,Selcet,Not Select,Not Select,Yes,IH,Selcet,Selcet,Not Select,Selcet,1,1,1,0,1,Most,Yes,-1,-1,0,0,-2,-2,1,-2,0,Advanced,1,36-40
561,561,561,3067679562,2/12/14 20:11,2/12/14 20:32,31,Asian American/Pacific Islander,M,USA,CPT,United States of America,380,Applied Mathematics,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,No,Select,Not Select,Not Select,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,2,1,2,LL,TR,ICR,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,NA,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Not Select,1,2,1,2,1,1,0,1,NA,Third,First,Second,Third,Fourth,Second,Fifth,First,E,Yes,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,Prof H Drive,Paper Copy,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,No,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,Yes,NA,Selcet,Selcet,Selcet,Not Select,1,-1,0,0,-1,Most,No,-1,1,-1,1,0,-1,1,0,1,Advanced,7,31-35
562,562,562,3067637102,2/12/14 19:56,2/12/14 20:15,39,Unknown,M,Army,COL,Argentina,365,"Joint Cmd, Cntrl, Comm, Comp/Intel (C4I) Sys",Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,1,1,1,SL,TR,ICR,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Very Little,Very Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Little,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Not Select,1,1,-1,-1,1,1,NA,-1,Third,Second,Fourth,First,Third,Fifth,Fourth,First,Second,N,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,Drop Box,Google Drive,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Not Select,Selcet,2,2,2,-1,2,Some,No,-2,-1,-1,-1,1,-1,1,-1,1,Advanced,7,36-40
563,563,563,3067609657,2/12/14 19:42,2/12/14 20:04,36,White,M,USN,LT,United States of America,837,Financial Management,Graduate School of Business and Public Policy,NPS,Master,No,No,Select,Not Select,Not Select,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,2,0,1,SL,SL,ICR,Somewhat Well,Very Well,NA,Very Well,NA,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Little,Not At All,Somewhat Well,NA,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,2,0,0,1,1,NA,NA,1,NA,Third,First,Second,Third,Fifth,Fourth,Second,First,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Not Select,NA,NA,NA,NA,NA,Most,Yes,0,2,-1,0,1,1,1,-1,2,Expert,1,36-40
564,564,564,3067583796,2/12/14 19:33,2/12/14 19:35,48,Asian American/Pacific Islander,M,USN,LCDR,United States of America,815,Acquisitions & Contract Management,Graduate School of Business and Public Policy,NPS,Master,Yes,No,Select,Not Select,Not Select,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41+
565,565,565,3067480572,2/12/14 18:49,2/12/14 19:29,36,White,M,USN,LT,United States of America,570,Naval/Mechanical Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,2,2,2,T,TR,TR,Somewhat Well,Somewhat Well,NA,Somewhat Well,NA,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Well,NA,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,2,2,1,2,1,1,1,1,First,NA,Second,Third,Second,Third,Fourth,Fifth,First,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Not Select,Not Select,Not Select,Sometimes,Selcet,Selcet,Selcet,Yes,NA,Not Select,Selcet,Not Select,Not Select,1,1,1,1,0,Most,Yes,1,1,2,2,1,1,1,1,1,Advanced,7,36-40
566,566,566,3067464317,2/12/14 18:43,2/12/14 18:53,32,White,M,USN,LT,United States of America,815,Acquisitions & Contract Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,2,2,2,SL,SL,TR,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Well,Very Little,Very Little,Very Little,Very Little,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,1,1,2,2,1,1,2,1,Fourth,Third,Second,First,Third,Fifth,Fourth,Second,First,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,KH,Not Select,Selcet,Not Select,Selcet,2,2,2,1,1,All,Yes,0,0,-1,1,2,1,2,1,-1,Intermediate,1,31-35
567,567,567,3067412059,2/12/14 18:20,2/12/14 18:44,30,Unknown,M,Navy,LT,Mexico,570,Naval/Mechanical Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,No,Select,Not Select,Select,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,2,0,0,T,ICR,TR,Very Little,Very Well,Somewhat Well,Somewhat Well,Very Little,Very Little,Very Little,Somewhat Well,Very Well,NA,NA,Very Well,Very Little,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Selcet,2,2,1,1,0,0,0,1,Third,Fourth,First,Second,Third,Fourth,Second,Fifth,First,F,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,Drop Box,NA,Prof H Drive,Paper Copy,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Selcet,Not Select,2,2,2,1,1,Some,No,-2,2,-2,2,-2,2,1,-2,2,Expert,6,20-30
568,568,568,3067406141,2/12/14 18:17,2/12/14 18:27,38,White,M,USA,MAJ,United States of America,698,Joint Information Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,SL,T,TR,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,2,1,1,0,1,0,First,Second,Fourth,Third,Second,Third,Fourth,First,Fifth,F,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Not Select,Selcet,2,2,2,2,2,Some,No,0,-2,0,0,-2,1,1,0,0,Intermediate,3,36-40
569,569,569,3067401974,2/12/14 18:15,2/12/14 18:33,42,Unknown,M,Navy,CDR,Chile,815,Acquisitions & Contract Management,Graduate School of Business and Public Policy,NPS,Master,Yes,No,Not Select,Not Select,Select,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,0,1,-1,LL,TR,ICR,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,NA,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,1,0,-1,-1,0,-1,-1,-1,Fourth,Third,First,Second,Second,Fifth,Fourth,Third,First,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,Drop Box,Google Drive,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,Google Drive,NA,NA,Yes,Selcet,Selcet,Selcet,Rarely,Not Select,Not Select,Selcet,No,NA,Selcet,Selcet,Selcet,Not Select,2,2,2,1,2,Most,Yes,0,1,-1,-1,-1,-1,1,0,1,Basic,3,41+
570,570,570,3067381030,2/12/14 18:07,2/12/14 18:17,33,White,M,USA,MAJ,United States of America,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Select,Not Select,Not Select,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,2,1,2,LL,TR,ICR,Somewhat Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Very Little,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Not At All,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,2,1,2,2,1,2,1,1,Third,Fourth,First,Second,First,Fifth,Fourth,Second,Third,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,Yes,RO,Not Select,Selcet,Not Select,Selcet,2,2,2,1,1,Most,No,1,-1,1,1,-2,0,1,0,0,Intermediate,3,31-35
571,571,571,3067371946,2/12/14 18:03,2/12/14 18:16,30,White,M,USN,LT,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Select,Not Select,Select,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,1,1,2,TR,TR,ICR,Very Well,Very Little,NA,Somewhat Well,NA,Very Little,Very Well,Very Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Very Little,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,1,1,1,1,0,1,2,1,NA,Third,First,Second,First,Fifth,Third,Second,Fourth,SE,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Selcet,Yes,NA,Selcet,Selcet,Selcet,Not Select,1,2,2,0,-2,Most,Yes,0,1,0,1,-1,-1,0,-1,1,Advanced,6,20-30
572,572,572,3067102348,2/12/14 16:11,2/12/14 16:22,30,White,F,USN,LT,United States of America,847,Manpower Systems Analysis,Graduate School of Business and Public Policy,NPS,Master,Yes,No,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,-1,-1,-1,SL,T,ICR,Somewhat Well,Very Little,Somewhat Well,Very Little,NA,NA,NA,Very Well,NA,Very Well,NA,NA,NA,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,1,1,2,2,NA,NA,NA,NA,Fourth,First,Third,Second,Second,Third,First,Fourth,Fifth,F,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,No,NA,Selcet,Selcet,Selcet,Selcet,2,2,2,2,2,Most,Yes,2,0,2,2,0,1,1,1,1,Intermediate,6,20-30
573,573,573,3067094044,2/12/14 16:07,2/12/14 16:20,37,White,M,USN,LT,United States of America,837,Financial Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,2,0,0,LL,SL,TR,Very Well,Very Well,NA,NA,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,NA,Very Little,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,2,2,1,0,1,0,1,1,Fourth,Third,Second,First,Second,Fourth,Third,Fifth,First,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Not Select,Not Select,2,2,2,2,2,Most,Yes,-1,1,0,0,-2,1,1,-1,1,Intermediate,3,36-40
574,574,574,3067089843,2/12/14 16:05,2/12/14 16:06,63,Unknown,F,NA,NA,United States of America,692,Homeland Defense and Security,School of International Graduate Studies,NPS,Master,Yes,No,Not Select,Not Select,Not Select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41+
575,575,575,3067060640,2/12/14 15:54,2/12/14 16:08,32,White,M,USN,LTJG,United States of America,308,Systems Engineering Analysis,Provost Oversight,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,2,0,2,SL,TR,TR,Very Little,Somewhat Well,Somewhat Well,Very Well,Not At All,Very Little,Very Little,Very Well,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Not At All,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,1,NA,-1,-1,1,1,1,0,NA,Third,Second,First,Third,Fifth,Fourth,Second,First,SE,No,Not Select,Selcet,Not Select,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Selcet,Not Select,2,2,-1,0,1,All,No,0,0,-1,-1,-2,1,2,0,-1,Intermediate,3,31-35
576,576,576,3066987868,2/12/14 15:24,2/12/14 15:33,42,White,M,USN,LT,United States of America,837,Financial Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,2,2,0,T,ICR,TR,Somewhat Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Not At All,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,1,2,-1,0,1,0,0,1,NA,Third,Second,First,Third,Fifth,Fourth,First,Second,SE,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,Tunitin,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Selcet,Selcet,2,2,1,0,0,Most,Yes,0,-1,0,0,-2,-2,1,-1,0,Intermediate,5,41+
577,577,577,3066978084,2/12/14 15:20,2/12/14 15:31,29,White,M,USN,LT,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,-1,-1,-1,LL,SL,TR,Somewhat Well,Very Well,Very Well,Very Little,Not At All,Very Little,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Not At All,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Not Select,Not Select,Not Select,Not Select,Not Select,Not Select,2,2,-2,1,1,1,-2,0,NA,Third,Second,First,Third,Fifth,Fourth,Second,First,SE,No,Selcet,Not Select,Not Select,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,No,Selcet,Selcet,Not Select,Rarely,Selcet,Selcet,Not Select,Yes,NA,Selcet,Selcet,Selcet,Not Select,1,1,2,0,-1,Most,Yes,-1,1,-2,-2,-1,-2,1,0,0,Advanced,7,20-30
578,578,578,3066942432,2/12/14 15:04,2/12/14 15:18,32,White,M,USA,CPT,United States of America,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,2,0,0,LL,T,ICR,Somewhat Well,Somewhat Well,Very Well,Very Well,NA,Very Little,Somewhat Well,Somewhat Well,Very Well,Very Well,Somewhat Well,Very Well,Somewhat Well,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,2,2,0,0,1,1,1,2,Third,Fourth,First,Second,First,Fifth,Third,Fourth,Second,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,Yes,WH,Not Select,Selcet,Selcet,Selcet,1,1,1,0,0,All,Yes,1,-1,0,0,-1,0,1,-1,0,Intermediate,1,31-35
579,579,579,3066880120,2/12/14 14:32,2/12/14 14:49,34,White,M,USN,LT,United States of America,682,"Far East, Southeast Asia, Pacific",School of International Graduate Studies,NPS,Master,Yes,NA,Not Select,Not Select,Not Select,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,0,1,0,LL,SL,SL,Very Well,Very Well,NA,NA,Somewhat Well,Very Well,Very Well,NA,Very Well,Somewhat Well,Very Little,NA,NA,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,2,1,1,0,1,0,0,NA,NA,First,Second,Fifth,Third,Second,Fourth,First,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,NA,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Not Select,NA,NA,NA,NA,NA,Some,No,0,1,-1,1,-1,-1,1,-1,-2,Intermediate,3,31-35
580,580,580,3066839402,2/12/14 14:17,2/12/14 14:31,41,White,M,USA,1SG,United States of America,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,2,2,2,T,T,SL,Very Well,Very Well,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Very Well,Very Well,Very Well,Very Well,Very Little,Very Well,Very Little,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,2,2,1,1,1,0,1,2,First,Second,NA,NA,Third,Fifth,Fourth,Second,First,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,No,NA,Not Select,Selcet,Selcet,Selcet,1,1,0,1,NA,Most,Yes,-1,1,0,-1,-1,-1,1,-2,-1,Intermediate,1,41+
